"RiverOutfitterName","ROL_ID","ROL_ID_Flag","BusinessEntity_ID","BusinessEntity_ID_Flag","GNIS_Name_CSV","GNIS_Name_CSV_Flag","GNIS_ID_CSV","GNIS_ID_CSV_Flag","Business_Address","Business_Municipality","State","Business_ZipCode","Municipality_DOLA_LG_ID","Municipality_DOLA_LG_ID_Flag","Latitude","Longitude","Lat_Long_Flag","Formation_Date","Formation_Date_Flag","Website","Website_Flag","CROA_Member","Comments"
"Alpine Angling & Adventure Travel, Inc.",255,G,19961164131,G,,x,,x,2205 Grand Ave,Glenwood Springs,CO,81601,23008,G,,,x,1996-12-18 00:00:00,G,,x,x,
"Alpine Quest Sports, LLC",374,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Amber Waves Adventures, LLC.",434,G,20051397296,G,,x,,x,12844 Highway 24/285,Buena Vista,CO,81211,08002,G,38.812368,-106.105557,g1,2005-10-25 00:00:00,G,,x,x,
American River Touring Association Inc.,093,G,19921044240,G,,x,,x,24000 Casa Loma Road,Groveland,CA,95321,,N,37.817794,-120.109433,g1,1992-04-29 00:00:00,G,,x,x,
"Animas River Company, LLC",506,G,20111397751,G,,x,,x,360 S. Camino del Rio,Durango,CO,81301,34008,G,37.251588,-107.874745,g1,2011-07-12 00:00:00,G,,x,x,
"Animas Valley Anglers, LLC.",339,G,20051347805,G,,x,,x,264 west 22nd st,Durango,CO,81301,34008,G,40.744242,-73.998577,g1,2005-09-14 00:00:00,G,,x,x,
"ArkAnglers, LLC.",353,G,19981172385,G,,x,,x,7500 US Hwy 50 West,Salida,CO,81201,08007,G,42.332669,-84.485995,g1,1998-09-24 00:00:00,G,,x,x,
Arkansas Valley Adventures,307,G,19981022115,G,"Animas River, Arkansas River, Blue River, Cache la Poudre River, Clear Creek, Colorado River, Dolores River, Eagle River",G,"00900284, 00078956, 00173194, 00205018, 00181805, 00045730, 01440517, 00174007",G,116 Huron Rd,Breckenridge,CO,80424,59004,G,39.493479,-106.043874,g1,1998-02-04 00:00:00,G,https://www.coloradorafting.net/,G,Y,
"Aspen Flyfishing Guide Service, Inc.",428,G,20051391930,G,,x,,x,0185 Forge Rd,Aspen,CO,81611,49006,G,39.213985,-106.853629,g1,2005-10-20 00:00:00,G,,x,x,
"Aspen Guide Service, LLC",462,G,20091057079,G,,x,,x,"98 Glen Dee Road, #16",Aspen,CO,81611,49006,G,39.184379,-106.854403,g1,2009-01-28 00:00:00,G,,x,x,
"Aspen Trout Guides, Inc.",221,G,19931141641,G,,x,,x,603 Midland Park Place,Aspen,CO,81611,49006,G,39.188850,-106.807563,g1,1993-12-23 00:00:00,G,,x,x,
"Aspen Whitewater Rafting, LLC.",391,G,20041015880,G,,x,,x,520 East Durant Ave,Aspen,CO,81611,49006,G,39.187396,-106.818308,g1,2004-01-14 00:00:00,G,,x,x,
A Wanderlust Adventure,005,G,19921119392,N,Cache la Poudre River,G,00205018,G,4120 W County Rd 54G,Laporte,CO,80535,,N,40.633066,-105.154003,g1,1992-12-15 00:00:00,G,https://www.awanderlustadventure.com/,G,Y,"Parent company is J.P. Legel, Inc."
"B.R.O. High Adventures, LLC.",269,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Bangert Enterprises, LLC",474,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Bill Dvorak Kayak & Rafting Expeditions, Inc.",001,G,19871602286,G,,x,,x,17921 US Hwy 285,Nathrop,CO,81236,,N,38.679034,-106.094072,g1,1985-01-14 00:00:00,G,,x,x,
"Bison Adventures, LLC.",572,G,20161621140,G,,x,,x,1 Village Mall,Snowmass Village,CO,81615,49012,G,38.798141,-90.621098,g1,2016-09-14 00:00:00,G,,x,x,
"Blue Sky Adventures, Inc.",027,G,19871627681,G,,x,,x,319 6th Street,Glenwood Springs,CO,81601,23008,G,38.970938,-76.484773,g1,1985-06-28 00:00:00,G,,x,x,
"Blue Quill Anglers, Inc.",552,G,19991109141,G,,x,,x,1532 Bergen Pkwy,Evergreen,CO,80439,,N,39.687494,-105.361220,g1,1999-06-09 00:00:00,G,,x,x,
"Bootdoctors, Inc.",357,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Boulder Wilderness Shuttle, LLC.",534,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"BRA, LLC.",549,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Breckenridge Outdoor Education Center,260,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Business Marketing & Advertising, Inc.",153,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"C B MacTrout, LLC",485,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
Canyonlands Field Institute,198,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
"Canyon River Instruction, LLC.",577,G,20161624619,G,,x,,x,115 Swissvale Rd,Salida,CO,81201,08007,G,38.479339,-105.891456,g1,2016-09-16 00:00:00,G,,x,x,
"Centennial Canoe Outfitters, Inc.",173,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
CityWild,351,G,,x,,x,,x,,,,,,x,,,x,,x,,x,x,
